Rank,Name,Symbol,Market Cap (JPY),Price (JPY),24h Volume (JPY),Change (24h %)
1,Bitcoin,btc,309458704358693,15632397.0,8616991958076,1.96442
2,Ethereum,eth,72560502909371,602426.0,5152752089757,1.07772
3,XRP,xrp,21620128170069,378.07,1703847517743,6.32312
4,Tether,usdt,21550688482084,153.78,14239674781922,0.36998
5,Solana,sol,16628726169742,34733.0,758955609604,0.46698
6,BNB,bnb,16248645456187,111378.0,277042318672,2.38761
7,Dogecoin,doge,9214715757810,62.64,618038001218,0.90078
8,USDC,usdc,6453036556876,153.75,1439714725341,0.38087
9,Cardano,ada,6097852599788,170.22,202399408416,1.61883
10,Lido Staked Ether,steth,5885920678232,599587.0,25020296296,0.81861
11,TRON,trx,3931614373891,45.59,219648539870,2.99747
12,Avalanche,avax,3357255249577,8205.79,127508079566,3.12394
13,Chainlink,link,2880894997966,4595.66,430030123003,5.27311
14,Shiba Inu,shib,2569825251881,0.00436151,148006839011,1.94937
15,Wrapped stETH,wsteth,2506281977975,714694.0,16704828806,1.08885
16,Toncoin,ton,2488010082493,975.81,49058921080,-0.34941
17,Wrapped Bitcoin,wbtc,2118588687669,15606767.0,55604663640,2.1893
18,Sui,sui,2105284298111,718.73,303096837465,0.18629
19,Polkadot,dot,2098965190367,1378.3,99056690897,0.48346
20,Stellar,xlm,2019018418531,66.9,132282020131,4.17511
21,Hedera,hbar,1786538940779,46.75,270714879045,0.66152
22,Bitcoin Cash,bch,1651938467479,83424.0,61532312188,2.73387
23,WETH,weth,1643022711726,602436.0,132786412922,1.07969
24,Uniswap,uni,1586600415656,2647.1,98818780141,-0.27562
25,Pepe,pepe,1549037168024,0.0036842,421522131270,2.04531
26,Litecoin,ltc,1421370280951,18875.0,183495351015,2.34853
27,LEO Token,leo,1347455014470,1458.37,142141904,3.34763
28,NEAR Protocol,near,1280735761072,1052.47,85094846785,0.01252
29,Aptos,apt,1203265136284,2168.65,108553425234,2.2521
30,Wrapped eETH,weeth,1147407340533,635789.0,4613879779,1.08974
31,Hyperliquid,hype,1090997011101,3267.16,40888956182,20.23217
32,Internet Computer,icp,972816284197,2043.27,38896914865,-0.6467
33,Ethena USDe,usde,894484024953,153.95,27800435714,0.34264
34,Aave,aave,888835804244,59277.0,240349506712,5.69887
35,USDS,usds,799695010028,153.8,2822789542,0.41739
36,POL (ex-MATIC),pol,794897570362,95.06,34906835051,0.29374
37,Ethereum Classic,etc,776564200351,5179.18,62227586842,-0.44957
38,Cronos,cro,766764610065,28.26,6892902900,-0.92878
39,Render,render,738870645296,1427.01,34452213083,-0.12349
40,VeChain,vet,733902585983,9.06,24098179648,0.65836
41,Artificial Superintelligence Alliance,fet,717565242738,275.16,60522593308,1.01979
42,Bitget Token,bgb,687305453901,492.61,18118712605,1.61549
43,Bittensor,tao,661956869140,89811.0,32992416474,1.95554
44,Arbitrum,arb,651524955246,158.99,119964894136,-0.48166
45,Mantle,mnt,643220123482,190.89,18978879233,-1.46583
46,Filecoin,fil,632498384473,1035.41,68980477460,1.86588
47,Kaspa,kas,621131229753,24.5,21187029228,-0.66429
48,Monero,xmr,609892722108,33062.0,20461280683,4.76959
49,MANTRA,om,582033584405,616.09,16430835147,1.79108
50,WhiteBIT Coin,wbt,556200795472,3860.88,3343496284,1.19599
52,Cosmos Hub,atom,551386795171,1411.32,65382649972,1.62913
51,Fantom,ftm,550837283512,196.75,81098269435,6.2635
53,Algorand,algo,548617111994,66.04,63372270818,1.70509
54,Stacks,stx,535879786398,356.13,29652097688,0.93113
55,Dai,dai,527287177907,153.75,16635718294,0.39413
56,OKB,okb,506162974044,8442.94,1286140882,1.19695
57,Optimism,op,505614855088,403.09,90154358097,1.50763
58,Immutable,imx,501576743407,296.03,16630494791,-0.76911
59,Celestia,tia,486859614577,1077.61,43972430014,-2.71131
60,Ethena,ena,455617769532,154.96,69250435817,-2.34976
61,dogwifhat,wif,450185132713,450.72,88203246091,-0.01806
62,Bonk,bonk,445805939503,0.00589748,61507310920,1.38835
63,Injective,inj,429220815529,4393.69,27196046294,-0.85967
64,Ondo,ondo,423506139131,294.64,101977876526,4.05369
65,Theta Network,theta,416580420730,416.58,12775652663,0.52396
66,The Graph,grt,416415998450,43.57,16360228523,1.387
67,Solana Swap,sos,375544945529,664.47,158170398,-1.22663
68,Virtuals Protocol,virtual,378267485404,379.2,61293315249,6.75431
69,Sei,sei,371658589712,93.43,37623081242,2.35879
70,Binance-Peg WETH,weth,365225532070,603788.0,12005435333,1.32349
71,Worldcoin,wld,361141912721,469.7,87110972247,-0.72275
72,FLOKI,floki,357659135277,0.03696116,87653973488,-1.11425
73,THORChain,rune,337110187085,980.64,60460553903,-0.32611
74,JasmyCoin,jasmy,331986905741,6.86,92262053018,0.94518
75,GALA,gala,326768874645,7.8,57439649746,-0.9264
76,Quant,qnt,320147334891,22040.0,12087416981,3.08077
77,Coinbase Wrapped BTC,cbbtc,316714481339,15643539.0,57420848878,2.06213
78,Lido DAO,ldo,316125976349,352.65,47922238523,4.75688
79,First Digital USD,fdusd,313384488279,154.25,967507834298,0.61037
80,Rocket Pool ETH,reth,306318975225,675424.0,1630419250,1.10666
81,Kelp DAO Restaked ETH,rseth,294361970405,621758.0,2250859315,1.20771
82,Beam,beam,288344932340,5.49,22244469986,0.92268
83,The Sandbox,sand,285893442058,117.57,68613949437,0.35307
84,Maker,mkr,280041285732,314337.0,28870765228,-0.50308
85,Mantle Staked Ether,meth,278931924596,633134.0,1985506695,0.96338
86,Brett,brett,272793077018,27.48,12451424897,0.76591
87,Flare,flr,267640526285,4.89,4106842412,5.41376
88,Kaia,kaia,263351240865,45.04,18862170478,8.30723
89,Gate,gt,254397412184,2030.68,1717469407,-3.14194
90,EOS,eos,253636367364,167.21,39616782785,2.03638
91,Pyth Network,pyth,251897933915,69.56,18776145405,1.37376
92,KuCoin,kcs,249861182728,2078.27,32923110,0.18705
93,Raydium,ray,248889630204,857.05,28403884424,7.77023
94,Curve DAO,crv,248381784970,198.16,135656022107,7.10868
95,dYdX,dydx,235618999660,331.9,13465794226,-0.12993
96,Tokenize Xchange,tkx,234103986251,2927.48,1760351634,2.21836
97,Renzo Restaked ETH,ezeth,232767139849,619613.0,310831989,1.04381
98,Flow,flow,232439318122,150.16,16056735576,0.22098
99,Jupiter,jup,232262042710,171.95,28126530362,-0.76261
100,Tezos,xtz,228899430693,224.79,16019918471,1.21346
